title,category,price_gbp,price_inr,rating,in_stock
A Light in the Attic,Books,51.77,5461.74,3,True
Tipping the Velvet,Books,53.74,5669.57,1,True
Soumission,Books,50.1,5285.55,1,True
Sharp Objects,Books,47.82,5045.01,4,True
Sapiens: A Brief History of Humankind,Books,54.23,5721.26,5,True
The Requiem Red,Books,22.65,2389.57,1,True
The Dirty Little Secrets of Getting Your Dream Job,Books,33.34,3517.37,4,True
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Books,17.93,1891.62,3,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Books,22.6,2384.3,4,True
The Black Maria,Books,52.15,5501.82,1,True
"Starving Hearts (Triangular Trade Trilogy, #1)",Books,13.99,1475.94,2,True
Shakespeare's Sonnets,Books,20.66,2179.63,4,True
Set Me Free,Books,17.46,1842.03,5,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Books,52.29,5516.6,5,True
Rip it Up and Start Again,Books,35.02,3694.61,5,True
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Books,57.25,6039.88,3,True
Olio,Books,23.88,2519.34,1,True
Mesaerion: The Best Science Fiction Stories 1800-1849,Books,37.59,3965.75,1,True
Libertarianism for Beginners,Books,51.33,5415.31,2,True
It's Only the Himalayas,Books,45.17,4765.44,2,True
In Her Wake,Books,12.84,1354.62,1,True
How Music Works,Books,37.32,3937.26,2,True
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Books,30.52,3219.86,3,True
Chase Me (Paris Nights #2),Books,25.27,2665.99,5,True
Black Dust,Books,34.53,3642.91,5,True
Birdsong: A Story in Pictures,Books,54.64,5764.52,3,True
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Books,22.5,2373.75,3,True
Aladdin and His Wonderful Lamp,Books,53.13,5605.22,3,True
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Books,40.3,4251.65,5,True
Wall and Piece,Books,44.18,4660.99,4,True
The Four Agreements: A Practical Guide to Personal Freedom,Books,17.66,1863.13,5,True
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Books,31.05,3275.78,3,True
The Elephant Tree,Books,23.82,2513.01,5,True
The Bear and the Piano,Books,36.89,3891.89,1,True
Sophie's World,Books,15.94,1681.67,5,True
Penny Maybe,Books,33.29,3512.09,3,True
Maude (1883-1993):She Grew Up with the country,Books,18.02,1901.11,2,True
"In a Dark, Dark Wood",Books,19.63,2070.96,1,True
Behind Closed Doors,Books,52.22,5509.21,4,True
You can't bury them all: Poems,Books,33.63,3547.97,2,True
Slow States of Collapse: Poems,Books,57.31,6046.2,3,True
Reasons to Stay Alive,Books,26.41,2786.26,2,True
Private Paris (Private #10),Books,47.61,5022.85,5,True
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Books,23.11,2438.11,5,True
Without Borders (Wanderlove #1),Books,45.07,4754.89,2,True
When We Collided,Books,31.77,3351.74,1,True
"We Love You, Charlie Freeman",Books,50.27,5303.49,5,True
Untitled Collection: Sabbath Poems 2014,Books,14.27,1505.48,4,True
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Books,44.18,4660.99,4,True
Unicorn Tracks,Books,18.78,1981.29,3,True
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Books,25.52,2692.36,1,True
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Books,16.28,1717.54,1,True
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Books,31.12,3283.16,3,True
This One Summer,Books,19.49,2056.19,4,True
Thirst,Books,17.27,1821.98,5,True
The Torch Is Passed: A Harding Family Story,Books,19.09,2013.99,1,True
The Secret of Dreadwillow Carse,Books,56.13,5921.72,1,True
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Books,56.41,5951.25,1,True
The Past Never Ends,Books,56.5,5960.75,4,True
The Natural History of Us (The Fine Art of Pretending #2),Books,45.22,4770.71,3,True
The Nameless City (The Nameless City #1),Books,38.16,4025.88,4,True
The Murder That Never Was (Forensic Instincts #5),Books,54.11,5708.6,3,True
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Books,42.96,4532.28,4,True
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Books,23.89,2520.39,4,True
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Books,16.77,1769.23,3,True
